Level,DC,MBR,WRKGRP,HYP-V,DEFAULT,ID
L1,Y,Y,Y,Y,APPLY,18.10.15.1
L2,Y,Y,Y,Y,APPLY,18.10.15.2
L1,Y,Y,Y,Y,APPLY,18.10.15.3
L1,Y,Y,Y,Y,APPLY,18.10.15.4
L1,Y,Y,Y,Y,APPLY,18.10.15.5
L1,Y,Y,Y,Y,APPLY,18.10.15.6
L1,Y,Y,Y,Y,APPLY,18.10.15.7
L1,Y,Y,Y,Y,APPLY,18.10.15.8
L1,Y,Y,Y,Y,APPLY,18.10.17.1
L1,Y,Y,Y,Y,APPLY,18.10.17.2
L1,Y,Y,Y,Y,APPLY,18.10.17.3
L1,Y,Y,Y,Y,APPLY,18.10.17.4
L1,Y,Y,Y,Y,APPLY,18.10.25.1.1
L1,Y,Y,Y,Y,APPLY,18.10.25.1.2
L1,Y,Y,Y,Y,APPLY,18.10.25.2.1
L1,Y,Y,Y,Y,APPLY,18.10.25.2.2
L1,Y,Y,Y,Y,APPLY,18.10.25.3.1
L1,Y,Y,Y,Y,APPLY,18.10.25.3.2
L1,Y,Y,Y,Y,APPLY,18.10.25.4.1
L1,Y,Y,Y,Y,APPLY,18.10.25.4.2
L1,Y,Y,Y,Y,APPLY,18.10.28.2
L1,Y,Y,Y,Y,APPLY,18.10.28.3
L1,Y,Y,Y,Y,APPLY,18.10.28.4
L2,Y,Y,Y,Y,APPLY,18.10.36.1
L1,Y,Y,Y,Y,APPLY,18.10.40.1
L1,Y,Y,Y,Y,APPLY,18.10.41.1
L1,Y,Y,Y,Y,APPLY,18.10.42.5.1
L2,Y,Y,Y,Y,APPLY,18.10.42.5.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.1.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.1.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.2.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.2.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.3.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.3.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.4.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.4.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.5.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.5.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.6.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.6.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.7.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.7.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.8.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.8.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.9.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.9.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.10.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.10.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.11.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.11.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.12.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.12.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.13.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.13.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.3.1
L1,Y,Y,Y,Y,APPLY,18.10.42.7.1
L1,Y,Y,Y,Y,APPLY,18.10.42.10.1
L1,Y,Y,Y,Y,APPLY,18.10.42.10.2
L1,Y,Y,Y,Y,APPLY,18.10.42.10.3
L1,Y,Y,Y,Y,APPLY,18.10.42.10.4
L2,Y,Y,Y,Y,APPLY,18.10.42.12.1
L1,Y,Y,Y,Y,APPLY,18.10.42.13.1
L1,Y,Y,Y,Y,APPLY,18.10.42.13.2
L1,Y,Y,Y,Y,APPLY,18.10.42.13.3
L1,Y,Y,Y,Y,APPLY,18.10.42.16
L1,Y,Y,Y,Y,APPLY,18.10.42.17
L1,Y,Y,Y,Y,APPLY,18.10.50.1
L2,Y,Y,Y,Y,APPLY,18.10.55.1
L1,Y,Y,Y,Y,APPLY,18.10.56.2.2
L2,Y,Y,Y,Y,APPLY,18.10.56.3.2.1
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.1
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.2
L1,Y,Y,Y,Y,APPLY,18.10.56.3.3.3
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.4
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.5
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.6
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.7
L1,Y,Y,Y,Y,APPLY,18.10.56.3.9.1
L1,Y,Y,Y,Y,APPLY,18.10.56.3.9.2
L1,Y,Y,Y,Y,APPLY,18.10.56.3.9.3
L1,Y,Y,Y,Y,APPLY,18.10.56.3.9.4
L1,Y,Y,Y,Y,APPLY,18.10.56.3.9.5
L2,Y,Y,Y,Y,APPLY,18.10.56.3.10.1
L2,Y,Y,Y,Y,APPLY,18.10.56.3.10.2
