"LEVEL","ID","Category","Name","Method","MethodArgument","RegistryPath","RegistryItem","ClassName","Namespace","Property","DefaultValue","RecommendedValue","Operator","Severity"
"L1","“1.60”","Startup, home page and new tab page","Clear cached images and files when Microsoft (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ClearCachedImagesAndFilesOnExit",,,,,0,"=","Low"
"L1",1.61,"Startup, home page and new tab page","Clear history for IE and IE mode every time you exit (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","InternetExplorerModeclearDataOnExitEnab",,,,0,0,"=","Low"
"L1",1.62,"Startup, home page and new tab page","Compose is enabled for writing on the web","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ComposeInlineEnabled",,,,1,0,"=","Low"
"L1",1.63,"Startup, home page and new tab page","Configure browser process code integrity guard","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","browserCodeIntegritySetting",,,,0,2,"=","Low"
"L1",1.64,"Startup, home page and new tab page","Configure InPrivate mode availability","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","InPrivateModeAvailability",,,,,1,"=","Low"
"L1",1.65,"Startup, home page and new tab page","Configure Online Text To Speech (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ConfigureOnlineTextToSpeech",,,,1,0,"=","Low"
"L1",1.66,"Startup, home page and new tab page","Configure Related Matches in Find on Page (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","RelatedMatchesCloudServiceEnabled",,,,1,0,"=","Low"
"L1",1.67,"Startup, home page and new tab page","Configure Speech Recognition (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","SpeechRecognitionEnabled",,,,1,0,"=","Low"
"L1",1.68,"Startup, home page and new tab page","Configure the list of names that will bypass the HSTS policy check (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","HSTSPolicyBypassList",,,,1,"absent","=","Low"
"L1",1.71,"Startup, home page and new tab page","Configure whether form data and HTTP headers will be sent when entering or exiting Internet Explorer mode","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","InternetExplorerIntegrationComplexNavDataTypes",,,,,0,"=","Low"
"L1",1.72,"Startup, home page and new tab page","Continue running background apps after Microsoft Edge closes","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","BackgroundModeEnabled",,,,0,0,"=","Low"
"L1",1.73,"Startup, home page and new tab page","Control communication with the Experimentation and Configuration Service","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ExperimentationAndConfigurationServiceControl",,,,1,0,"=","Low"
"L2",1.74,"Startup, home page and new tab page","Control use of the Headless Mode (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","HeadlessModeEnabled",,,,1,0,"=","Low"
